model,fold,valid_corr_raw,valid_corr_z,test_corr_raw,test_corr_z
lgbm,0.0,0.09413410280447376,0.0919842808726967,0.05454402352605098,0.05342796593255302
extra_trees,0.0,0.0896894538612171,0.08904552950018112,0.04922143617758193,0.0495311322033732
rf,0.0,0.08258084553333965,0.0821727897023341,0.04561143331845008,0.04555088447111383
ridge,0.0,0.052567753940820694,0.05431011325829011,0.038648419082164764,0.04159342109178844
elasticnet,0.0,0.03418780118227005,0.03291062525824106,0.026665911078453064,0.027214314244377508
torch_linear,0.0,0.00786590576171875,0.00459693072468964,0.008088745176792145,0.005229852738636607
torch_mlp,0.0,-0.002091044094413519,-0.0026713037495129555,0.005619435105472803,0.005240394016602335
