date,corr
2019-01-02,0.19307216818622167
2019-01-03,-0.14171555773808903
2019-01-04,-0.020892895649990122
2019-01-07,0.035765549122044264
2019-01-08,0.23769242777082364
2019-01-09,0.08354002072438647
2019-01-10,0.26195608517131935
2019-01-11,0.19096414479487045
2019-01-14,0.27775075707960867
2019-01-15,0.21292594928969227
2019-01-16,0.1445168859970426
2019-01-17,0.05297974465966085
2019-01-18,0.17439045659801472
2019-01-21,0.04809079927457816
2019-01-22,0.032553505962834975
2019-01-23,-0.04153784034620607
2019-01-24,0.2822552081085383
2019-01-25,0.14682010459368894
2019-01-28,0.059269584564100905
2019-01-29,0.0522019153221833
2019-01-30,0.18123559493616823
2019-01-31,0.03564150758807917
2019-02-01,0.06309839063993083
2019-02-11,-0.1543663616434885
2019-02-12,0.152475307447356
2019-02-13,0.16642400857418066
2019-02-14,0.1852747859547853
2019-02-15,0.06771149189121206
2019-02-18,-0.017293323539137578
2019-02-19,0.14256798342802987
2019-02-20,0.1792576013581838
2019-02-21,-0.08533598048629024
2019-02-22,0.03443600754175874
2019-02-25,-0.010799641752893375
2019-02-26,0.33529799888492673
2019-02-27,0.20631165733516213
2019-02-28,0.09334417870238737
2019-03-01,-0.01617142213785092
2019-03-04,-0.18898532943462473
2019-03-05,-0.0034333163024717517
2019-03-06,-0.14038342379344837
2019-03-07,0.05345292629866159
2019-03-08,0.22024635578560203
2019-03-11,0.10527967191119994
2019-03-12,0.19346397580936414
2019-03-13,0.3631906159391549
2019-03-14,0.03228752709734051
2019-03-15,0.33586482807900425
2019-03-18,0.17765565645579384
2019-03-19,0.060094297177245466
2019-03-20,0.003657481555692353
2019-03-21,0.149077416131036
2019-03-22,0.055256404244271896
2019-03-25,0.15245279063530756
2019-03-26,0.12457845160207795
2019-03-27,0.014514183397300543
2019-03-28,0.37507877749774926
2019-03-29,0.03991588546113672
2019-04-01,-0.0468442133259313
2019-04-02,0.2106807640505353
2019-04-03,0.015888904646380105
2019-04-04,0.02195874269830082
2019-04-08,0.12400161934387735
2019-04-09,0.019401754771240325
2019-04-10,0.1760311341678289
2019-04-11,0.13437119766866784
2019-04-12,0.07309240462887757
2019-04-15,0.03058774452899515
2019-04-16,0.006882944337573742
2019-04-17,-0.034459111896432866
2019-04-18,0.27361820791648206
2019-04-19,0.09188860877147625
2019-04-22,0.1639071492527897
2019-04-23,0.18189871348274836
2019-04-24,0.21600195137084272
2019-04-25,0.15786241164517884
2019-04-26,0.08996489282599163
2019-04-29,0.19659955604843948
2019-04-30,0.010866835312711796
2019-05-06,-0.09226152320551458
2019-05-07,0.06414389716368597
2019-05-08,0.2092483969486203
2019-05-09,-0.04654669899901897
2019-05-10,0.07889763072158251
2019-05-13,0.019178121975549484
2019-05-14,0.12134884024937569
2019-05-15,0.07418621660209251
2019-05-16,0.3096545510007227
2019-05-17,-0.07615704124922724
2019-05-20,0.15663331196265803
2019-05-21,0.01753666010879487
2019-05-22,0.07896850670957381
2019-05-23,0.2526324887822151
2019-05-24,0.1789788017301449
2019-05-27,-0.017880914177830047
2019-05-28,-0.004756365112227695
2019-05-29,0.040095961306615274
2019-05-30,0.16304326327384067
2019-05-31,0.06132836747984464
2019-06-03,0.2646086367453426
2019-06-04,0.09011366761500472
2019-06-05,0.05780752991450412
2019-06-06,0.07063646937040068
2019-06-10,0.11526167064694844
2019-06-11,-0.13969738082169048
2019-06-12,0.17627893082970852
2019-06-13,0.20928502681892333
2019-06-14,0.20109460568082405
2019-06-17,0.12846981012728007
2019-06-18,0.16510113690433098
2019-06-19,0.09664614665689931
2019-06-20,0.03319063302894642
2019-06-21,0.029142239506822376
2019-06-24,0.18181244078785824
2019-06-25,0.18871621216152326
2019-06-26,0.13533543591382646
2019-06-27,0.09446215178419419
2019-06-28,0.2523263569505809
2019-07-01,0.21323825753378417
2019-07-02,0.17043488374115587
2019-07-03,0.1424086152722241
2019-07-04,0.05859308074366613
2019-07-05,-0.005439159603101972
2019-07-08,0.030060460778680513
2019-07-09,0.08663491864725253
2019-07-10,0.1678278814409882
2019-07-11,0.03725815486353349
2019-07-12,0.05798196367588662
2019-07-15,-0.08495135472176855
2019-07-16,0.13761151323521517
2019-07-17,-0.04691073819810247
2019-07-18,0.25004677775486966
2019-07-19,-0.028380593321588647
2019-07-22,0.12534530832466306
2019-07-23,0.0033455809920311733
2019-07-24,-0.0004492500956216998
2019-07-25,0.08351230725972729
2019-07-26,0.18672839300128222
2019-07-29,0.09795336376060261
2019-07-30,0.10878705064168669
2019-07-31,0.1368120303263806
2019-08-01,-0.0901091582403887
2019-08-02,0.009099748484830148
2019-08-05,-0.553085517691192
2019-08-06,0.2517418562469569
2019-08-07,0.3201774071740452
2019-08-08,0.08263248133492358
2019-08-09,0.14271488563223553
2019-08-12,0.1261876222756139
2019-08-13,0.04331500475280229
2019-08-14,0.13378250107116216
2019-08-15,0.18579826616678607
2019-08-16,0.02815547516128535
2019-08-19,-0.05223011270812635
2019-08-20,0.20822288726461866
2019-08-21,0.0755937078069651
2019-08-22,0.11345664533482018
2019-08-23,0.08428071709824793
2019-08-26,0.09886286054236207
2019-08-27,0.17608666502234596
2019-08-28,0.10427950500370177
2019-08-29,0.08963927361824775
2019-08-30,0.12124026832010798
2019-09-02,0.17489902672310673
2019-09-03,-0.011411116672799277
2019-09-04,0.03232548615006353
2019-09-05,-0.046457903242505365
2019-09-06,0.12286064587820453
2019-09-09,-0.02538671442419201
2019-09-10,0.15995089538841764
2019-09-11,0.1849273444357474
2019-09-12,0.05448273511360982
