id,start,end
1000096,2016-03-21 10:00:00,2020-12-31 10:00:00
1000097,2016-01-04 10:00:00,2020-12-31 10:00:00
1000098,2016-01-04 10:00:00,2020-12-31 10:00:00
1000099,2016-01-18 10:00:00,2020-12-31 10:00:00
1000100,2016-01-04 10:00:00,2020-12-31 10:00:00
1000101,2016-01-04 10:00:00,2020-12-31 10:00:00
1000102,2016-01-04 10:00:00,2020-12-31 10:00:00
1000103,2016-01-04 10:00:00,2020-12-31 10:00:00
1000104,2016-01-04 10:00:00,2020-12-31 10:00:00
1000105,2016-01-04 10:00:00,2020-10-15 10:00:00
1000106,2016-01-04 10:00:00,2020-12-31 10:00:00
1000107,2016-01-04 10:00:00,2020-12-31 10:00:00
1000108,2016-01-04 10:00:00,2020-12-31 10:00:00
1000109,2016-01-04 10:00:00,2020-12-31 10:00:00
1000110,2016-01-04 10:00:00,2020-12-31 10:00:00
1000111,2016-01-04 10:00:00,2017-04-27 10:00:00
1000112,2016-01-04 10:00:00,2020-12-31 10:00:00
1000113,2016-01-04 10:00:00,2020-12-31 10:00:00
1000115,2016-01-04 10:00:00,2020-12-31 10:00:00
1000116,2016-01-04 10:00:00,2020-12-31 10:00:00
1000117,2016-01-04 10:00:00,2020-12-31 10:00:00
1000118,2016-01-04 10:00:00,2020-12-31 10:00:00
1000119,2016-01-04 10:00:00,2020-10-29 10:00:00
1000120,2016-01-04 10:00:00,2020-12-31 10:00:00
1000122,2016-01-04 10:00:00,2020-12-30 10:00:00
1000123,2016-01-04 10:00:00,2020-12-31 10:00:00
1000124,2016-01-04 10:00:00,2020-12-31 10:00:00
1000125,2016-01-04 10:00:00,2020-12-31 10:00:00
1000127,2016-01-04 10:00:00,2020-12-31 10:00:00
1000128,2016-01-04 10:00:00,2020-12-31 10:00:00
1000129,2016-01-04 10:00:00,2020-12-31 10:00:00
1000130,2016-01-04 10:00:00,2020-12-31 10:00:00
1000131,2016-01-04 10:00:00,2020-12-31 10:00:00
1000132,2016-01-04 10:00:00,2020-12-31 10:00:00
1000133,2016-03-02 10:00:00,2020-12-31 10:00:00
1000135,2016-01-04 10:00:00,2020-12-31 10:00:00
1000136,2016-01-04 10:00:00,2020-12-31 10:00:00
1000137,2016-01-04 10:00:00,2020-12-31 10:00:00
1000138,2016-01-04 10:00:00,2020-12-31 10:00:00
1000139,2016-01-04 10:00:00,2020-12-31 10:00:00
1000140,2016-01-04 10:00:00,2020-12-31 10:00:00
1000141,2016-01-04 10:00:00,2020-12-31 10:00:00
1000142,2016-01-04 10:00:00,2020-12-31 10:00:00
1000143,2016-01-04 10:00:00,2020-12-31 10:00:00
1000144,2016-01-04 10:00:00,2020-12-31 10:00:00
1000145,2016-01-04 10:00:00,2020-12-31 10:00:00
1000146,2016-01-04 10:00:00,2020-12-31 10:00:00
1000148,2016-01-04 10:00:00,2020-12-31 10:00:00
1000149,2016-01-04 10:00:00,2020-12-31 10:00:00
1000150,2016-01-04 10:00:00,2020-12-31 10:00:00
1000151,2016-10-21 10:00:00,2020-12-31 10:00:00
1000152,2016-01-04 10:00:00,2020-12-31 10:00:00
1000153,2016-01-04 10:00:00,2020-12-31 10:00:00
1000154,2016-01-04 10:00:00,2020-12-31 10:00:00
1000155,2016-01-04 10:00:00,2020-12-31 10:00:00
1000156,2016-01-04 10:00:00,2020-12-31 10:00:00
1000157,2016-01-04 10:00:00,2020-12-31 10:00:00
1000158,2016-01-04 10:00:00,2020-12-31 10:00:00
1000160,2016-01-04 10:00:00,2020-12-31 10:00:00
1000161,2016-01-04 10:00:00,2020-12-31 10:00:00
1000162,2016-01-04 10:00:00,2020-11-03 10:00:00
1000163,2016-01-04 10:00:00,2020-12-31 10:00:00
1000164,2016-01-04 10:00:00,2020-12-31 10:00:00
1000165,2016-01-04 10:00:00,2020-12-31 10:00:00
1000167,2016-01-04 10:00:00,2020-12-31 10:00:00
1000168,2016-01-04 10:00:00,2020-10-28 10:00:00
1000169,2016-01-04 10:00:00,2020-12-31 10:00:00
1000170,2016-01-04 10:00:00,2020-12-31 10:00:00
1000171,2016-01-04 10:00:00,2020-12-31 10:00:00
1000173,2016-01-04 10:00:00,2020-12-31 10:00:00
1000174,2016-01-04 10:00:00,2020-12-31 10:00:00
1000176,2016-01-04 10:00:00,2020-12-31 10:00:00
1000177,2016-05-13 10:00:00,2019-06-06 10:00:00
1000178,2016-01-13 10:00:00,2020-12-31 10:00:00
1000179,2016-01-04 10:00:00,2020-12-31 10:00:00
1000180,2016-01-04 10:00:00,2020-12-31 10:00:00
1000181,2016-01-04 10:00:00,2020-12-31 10:00:00
1000182,2016-01-04 10:00:00,2020-12-31 10:00:00
1000183,2016-01-04 10:00:00,2020-12-31 10:00:00
1000184,2016-01-04 10:00:00,2020-12-31 10:00:00
1000186,2016-01-04 10:00:00,2020-12-31 10:00:00
1000187,2016-01-04 10:00:00,2020-12-31 10:00:00
1000188,2016-01-04 10:00:00,2020-12-31 10:00:00
1000189,2016-01-04 10:00:00,2020-12-31 10:00:00
1000190,2016-01-20 10:00:00,2020-12-31 10:00:00
1000191,2016-01-04 10:00:00,2020-12-31 10:00:00
1000192,2016-01-04 10:00:00,2020-12-31 10:00:00
1000194,2016-01-04 10:00:00,2020-12-31 10:00:00
1000195,2016-01-04 10:00:00,2020-11-03 10:00:00
1000196,2016-01-04 10:00:00,2020-12-31 10:00:00
1000197,2016-01-04 10:00:00,2020-10-27 10:00:00
1000198,2016-01-04 10:00:00,2020-12-31 10:00:00
1000199,2016-01-04 10:00:00,2020-12-31 10:00:00
1000200,2016-01-04 10:00:00,2020-12-31 10:00:00
1000201,2016-01-04 10:00:00,2019-07-11 10:00:00
1000202,2016-01-04 10:00:00,2020-12-31 10:00:00
1000203,2016-01-04 10:00:00,2020-12-31 10:00:00
1000204,2016-01-04 10:00:00,2020-12-31 10:00:00
1000205,2016-01-04 10:00:00,2020-12-31 10:00:00
1000206,2016-01-04 10:00:00,2020-12-31 10:00:00
1000208,2016-01-04 10:00:00,2020-12-31 10:00:00
1000209,2016-01-04 10:00:00,2020-12-31 10:00:00
1000210,2016-01-04 10:00:00,2020-12-31 10:00:00
1000211,2016-01-04 10:00:00,2020-12-31 10:00:00
1000212,2016-01-04 10:00:00,2020-12-31 10:00:00
1000213,2016-02-15 10:00:00,2020-12-31 10:00:00
1000214,2016-01-04 10:00:00,2020-12-31 10:00:00
1000215,2016-01-04 10:00:00,2020-12-31 10:00:00
1000216,2016-01-04 10:00:00,2020-12-31 10:00:00
1000217,2016-01-04 10:00:00,2020-12-31 10:00:00
1000218,2016-01-04 10:00:00,2019-08-09 10:00:00
1000219,2016-01-04 10:00:00,2020-10-26 10:00:00
1000220,2016-01-04 10:00:00,2020-12-31 10:00:00
1000221,2016-01-04 10:00:00,2020-12-31 10:00:00
1000222,2016-01-04 10:00:00,2020-12-31 10:00:00
1000223,2016-01-04 10:00:00,2020-10-30 10:00:00
1000224,2016-07-27 10:00:00,2020-12-31 10:00:00
1000225,2016-01-04 10:00:00,2020-12-31 10:00:00
1000226,2016-01-04 10:00:00,2020-12-31 10:00:00
1000227,2016-01-04 10:00:00,2020-12-31 10:00:00
1000228,2016-01-04 10:00:00,2020-12-31 10:00:00
